epoch,loss
1,2201.0071991546242
2,96.06023448026633
3,44.37323970885216
4,31.510858934136884
5,25.584433069712
6,21.821752032147177
7,19.30192888235744
8,17.70387833178798
9,16.641309339788897
10,15.942574737947199
11,15.29808966268467
12,15.006470882439915
13,14.624617072600353
14,14.448993450478662
15,14.03683685049226
16,13.836569909808002
17,13.759646537937696
18,13.663625153559673
19,13.437343102467212
20,13.235190349289134
21,13.155540197710447
22,13.167807883854154
23,12.9959804891031
24,12.997698463971101
25,12.906681115114235
26,12.878580051132396
27,12.767399580795553
28,12.820103645324707
29,12.787499981590464
30,12.69232953651042
