epoch,loss
1,2221.159440680395
2,83.33463493178162
3,31.73149787323384
4,18.735692209080806
5,12.690905217128464
6,8.921493108513989
7,6.590954868476602
8,5.075373386469068
9,4.070254076885272
10,3.3357112494450583
11,2.8094908021673373
12,2.508691186769099
13,2.071625672658033
14,1.812029382661928
15,1.6246648858996886
16,1.477503517666195
17,1.2580023612591285
18,1.13907325371534
19,1.0043068490450895
20,0.9215842210039308
21,0.8429867152737666
22,0.7239920994903468
23,0.6839302524547034
24,0.6283271040625965
25,0.602957116274894
26,0.47277162672032286
27,0.4293206011098397
28,0.4049718777731627
29,0.36348181158964393
30,0.3365729833139649
