epoch,loss
1,2432.229105514816
2,66.49833282036117
3,22.053099436095998
4,12.109788297097895
5,7.910241810204107
6,5.563839087757883
7,4.120795799584329
8,3.201888045932673
9,2.573912311581117
10,2.2222021237204346
11,1.7867739787207375
12,1.5504613794103455
13,1.3476607446806341
14,1.1811643228689326
15,1.053985475550724
16,0.9789885141992871
17,0.832862615491016
18,0.7619120389977588
19,0.6768353889825978
20,0.6493548672599129
21,0.5572255814943132
22,0.5214349413408509
23,0.48704799835251855
24,0.424099944814851
25,0.4120781367432468
26,0.3618013323579408
27,0.42798372570283805
28,0.29349009329571
29,0.2842637229286417
30,0.27000926571744904
